;Millioner tonn CO₂-ekvivalenter2;;;;;;
;Klimagasser i alt;Karbondioksid (CO2);Metan (CH4);Lystgass (N2O);Hydrofluorkarboner (HFK);Perfluorkarboner (PFK);Svovelheksafluorid (SF6)
1990;51,2;35,0;6,7;3,8;0,0;3,5;2,2
2000;54,9;42,1;6,6;3,6;0,4;1,4;0,9
2005;54,7;43,3;6,0;3,8;0,5;0,9;0,3
2020;49,4;41,2;4,9;2,2;0,8;0,1;0,1
2021;49,2;41,0;4,9;2,2;0,8;0,2;0,1
2022;48,8;40,8;4,8;2,3;0,8;0,1;0,1
2023;46,6;38,9;4,7;2,1;0,8;0,1;0,1
2024;44,6;37,0;4,6;2,2;0,7;0,1;0,1
1Omfatter ikke utenriks sjø- og luftfart.;;;;;;;
2Klimagassutslipp oppgitt i CO₂-ekvivalenter viser hvor stor oppvarmingseffekt en klimagass har, regnet om til mengde CO₂.;;;;;;;
