# Kilde: Rovdata / NINA - Vinterbestandstelling ulv i Norge (norske revir og grenserevir)
# Tall oppgitt som minimum antall ulv med norsk tilhold (hel- og halvnorske revir)
# Se: https://rovdata.no for oppdaterte og endelige tall
Sesong;Ulv_Norge
2001-2002;18
2002-2003;18
2003-2004;15
2004-2005;18
2005-2006;18
2006-2007;22
2007-2008;24
2008-2009;18
2009-2010;20
2010-2011;24
2011-2012;30
2012-2013;30
2013-2014;26
2014-2015;33
2015-2016;47
2016-2017;52
2017-2018;65
2018-2019;64
2019-2020;96
2020-2021;98
2021-2022;112
2022-2023;107
2023-2024;107
